"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 08:59:15 UTC 2025","Thu Aug 07 08:59:18 UTC 2025","3504","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Thu Aug 07 08:59:29 UTC 2025","Thu Aug 07 08:59:33 UTC 2025","3592","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Thu Aug 07 08:59:54 UTC 2025","Thu Aug 07 08:59:58 UTC 2025","4735","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Thu Aug 07 08:59:11 UTC 2025","Thu Aug 07 08:59:15 UTC 2025","3463","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"passed","Thu Aug 07 08:59:33 UTC 2025","Thu Aug 07 08:59:43 UTC 2025","10618","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"failed","Thu Aug 07 08:59:04 UTC 2025","Thu Aug 07 08:59:08 UTC 2025","3485","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
"passed","Thu Aug 07 08:59:26 UTC 2025","Thu Aug 07 08:59:29 UTC 2025","3478","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"failed","Thu Aug 07 08:59:01 UTC 2025","Thu Aug 07 08:59:04 UTC 2025","3701","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Thu Aug 07 08:59:22 UTC 2025","Thu Aug 07 08:59:26 UTC 2025","3499","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Thu Aug 07 08:59:43 UTC 2025","Thu Aug 07 08:59:54 UTC 2025","10529","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Thu Aug 07 08:59:08 UTC 2025","Thu Aug 07 08:59:11 UTC 2025","3546","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"passed","Thu Aug 07 08:59:18 UTC 2025","Thu Aug 07 08:59:22 UTC 2025","3589","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
