"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 09:28:45 UTC 2025","Thu Aug 07 09:28:49 UTC 2025","4724","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Thu Aug 07 09:28:13 UTC 2025","Thu Aug 07 09:28:17 UTC 2025","3495","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Thu Aug 07 09:27:59 UTC 2025","Thu Aug 07 09:28:02 UTC 2025","3611","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"passed","Thu Aug 07 09:28:02 UTC 2025","Thu Aug 07 09:28:06 UTC 2025","3497","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"failed","Thu Aug 07 09:27:52 UTC 2025","Thu Aug 07 09:27:55 UTC 2025","3695","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Thu Aug 07 09:28:17 UTC 2025","Thu Aug 07 09:28:20 UTC 2025","3480","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"failed","Thu Aug 07 09:28:20 UTC 2025","Thu Aug 07 09:28:24 UTC 2025","3575","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Thu Aug 07 09:28:09 UTC 2025","Thu Aug 07 09:28:13 UTC 2025","3579","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
"passed","Thu Aug 07 09:28:34 UTC 2025","Thu Aug 07 09:28:45 UTC 2025","10547","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Thu Aug 07 09:28:06 UTC 2025","Thu Aug 07 09:28:09 UTC 2025","3485","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Thu Aug 07 09:28:24 UTC 2025","Thu Aug 07 09:28:34 UTC 2025","10545","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"failed","Thu Aug 07 09:27:55 UTC 2025","Thu Aug 07 09:27:59 UTC 2025","3468","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
