"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 02:58:03 UTC 2025","Sat Aug 09 02:58:07 UTC 2025","3538","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[12]",""
"failed","Sat Aug 09 02:57:41 UTC 2025","Sat Aug 09 02:57:45 UTC 2025","4409","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[6]",""
"passed","Sat Aug 09 02:57:52 UTC 2025","Sat Aug 09 02:57:56 UTC 2025","3531","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[9]",""
"passed","Sat Aug 09 02:57:59 UTC 2025","Sat Aug 09 02:58:03 UTC 2025","3631","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[11]",""
"passed","Sat Aug 09 02:58:07 UTC 2025","Sat Aug 09 02:58:10 UTC 2025","3520","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[13]",""
"failed","Sat Aug 09 02:57:45 UTC 2025","Sat Aug 09 02:57:49 UTC 2025","3496","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[7]",""
"passed","Sat Aug 09 02:58:36 UTC 2025","Sat Aug 09 02:58:40 UTC 2025","4764","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Sat Aug 09 02:57:56 UTC 2025","Sat Aug 09 02:57:59 UTC 2025","3555","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[10]",""
"passed","Sat Aug 09 02:58:25 UTC 2025","Sat Aug 09 02:58:36 UTC 2025","10768","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_mf4file[14]",""
"failed","Sat Aug 09 02:57:49 UTC 2025","Sat Aug 09 02:57:52 UTC 2025","3614","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[8]",""
"passed","Sat Aug 09 02:58:14 UTC 2025","Sat Aug 09 02:58:25 UTC 2025","10932","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_synchronflash[12]",""
"passed","Sat Aug 09 02:58:10 UTC 2025","Sat Aug 09 02:58:14 UTC 2025","3829","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[14]",""
