"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 10 12:23:31 UTC 2025","Sun Aug 10 12:23:35 UTC 2025","3496","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"failed","Sun Aug 10 12:23:24 UTC 2025","Sun Aug 10 12:23:28 UTC 2025","3586","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"passed","Sun Aug 10 12:24:10 UTC 2025","Sun Aug 10 12:24:15 UTC 2025","4696","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Sun Aug 10 12:23:35 UTC 2025","Sun Aug 10 12:23:38 UTC 2025","3617","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
"passed","Sun Aug 10 12:24:00 UTC 2025","Sun Aug 10 12:24:10 UTC 2025","10738","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Sun Aug 10 12:23:38 UTC 2025","Sun Aug 10 12:23:42 UTC 2025","3494","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Sun Aug 10 12:23:49 UTC 2025","Sun Aug 10 12:24:00 UTC 2025","10691","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"failed","Sun Aug 10 12:23:21 UTC 2025","Sun Aug 10 12:23:24 UTC 2025","3478","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
"failed","Sun Aug 10 12:23:16 UTC 2025","Sun Aug 10 12:23:20 UTC 2025","4207","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Sun Aug 10 12:23:45 UTC 2025","Sun Aug 10 12:23:49 UTC 2025","3600","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Sun Aug 10 12:23:42 UTC 2025","Sun Aug 10 12:23:45 UTC 2025","3472","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"passed","Sun Aug 10 12:23:28 UTC 2025","Sun Aug 10 12:23:31 UTC 2025","3484","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
