"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7331","test_turnlamp_triggered_synchronflash[8]","tests.turnlamp","Tue Aug 26 03:02:21 UTC 2025","passed","Tue Aug 26 03:02:28 UTC 2025","","test_synchron_flash","",""
"","3319","test_turnlamp_synchronflash[7]","tests.turnlamp","Tue Aug 26 03:05:32 UTC 2025","failed","Tue Aug 26 03:05:35 UTC 2025","","test_synchron_flash_multiport","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[7]","tests.turnlamp","Tue Aug 26 03:05:59 UTC 2025","skipped","Tue Aug 26 03:05:59 UTC 2025","","test_synchron_flash_multiport","",""
"","7349","test_turnlamp_triggered_synchronflash[7]","tests.turnlamp","Tue Aug 26 03:02:13 UTC 2025","failed","Tue Aug 26 03:02:21 UTC 2025","","test_synchron_flash","",""
"","3309","test_turnlamp_synchronflash[12]","tests.turnlamp","Tue Aug 26 03:05:48 UTC 2025","passed","Tue Aug 26 03:05:52 UTC 2025","","test_synchron_flash_multiport","",""
"","7375","test_turnlamp_triggered_mf4file[12]","tests.turnlamp","Tue Aug 26 03:03:57 UTC 2025","passed","Tue Aug 26 03:04:04 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[13]","tests.turnlamp","Tue Aug 26 03:05:59 UTC 2025","skipped","Tue Aug 26 03:05:59 UTC 2025","","test_synchron_flash_multiport","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7470","test_turnlamp_synchronflash_alternative[7]","tests.turnlamp","Tue Aug 26 03:04:26 UTC 2025","failed","Tue Aug 26 03:04:34 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","1","test_turnlamp_synchronflash_with_controldesk_recorder[10]","tests.turnlamp","Tue Aug 26 03:05:59 UTC 2025","skipped","Tue Aug 26 03:05:59 UTC 2025","","test_synchron_flash_multiport","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[14]","tests.turnlamp","Tue Aug 26 03:05:59 UTC 2025","skipped","Tue Aug 26 03:05:59 UTC 2025","","test_synchron_flash_multiport","",""
"","7379","test_turnlamp_triggered_synchronflash[6]","tests.turnlamp","Tue Aug 26 03:02:06 UTC 2025","failed","Tue Aug 26 03:02:13 UTC 2025","","test_synchron_flash","",""
"","7459","test_turnlamp_triggered_mf4file[6]","tests.turnlamp","Tue Aug 26 03:03:12 UTC 2025","failed","Tue Aug 26 03:03:20 UTC 2025","","test_synchron_flash","",""
"","3313","test_turnlamp_synchronflash[10]","tests.turnlamp","Tue Aug 26 03:05:42 UTC 2025","passed","Tue Aug 26 03:05:45 UTC 2025","","test_synchron_flash_multiport","",""
"","7370","test_turnlamp_triggered_mf4file[8]","tests.turnlamp","Tue Aug 26 03:03:27 UTC 2025","passed","Tue Aug 26 03:03:34 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[9]","tests.turnlamp","Tue Aug 26 03:05:59 UTC 2025","skipped","Tue Aug 26 03:05:59 UTC 2025","","test_synchron_flash_multiport","",""
