"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 08:48:19 UTC 2025","Thu Aug 07 08:48:23 UTC 2025","3506","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Thu Aug 07 08:48:23 UTC 2025","Thu Aug 07 08:48:26 UTC 2025","3602","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
"passed","Thu Aug 07 08:48:33 UTC 2025","Thu Aug 07 08:48:37 UTC 2025","3633","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Thu Aug 07 08:48:12 UTC 2025","Thu Aug 07 08:48:16 UTC 2025","3575","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"passed","Thu Aug 07 08:48:26 UTC 2025","Thu Aug 07 08:48:30 UTC 2025","3478","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Thu Aug 07 08:48:47 UTC 2025","Thu Aug 07 08:48:58 UTC 2025","10567","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Thu Aug 07 08:48:30 UTC 2025","Thu Aug 07 08:48:33 UTC 2025","3573","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"passed","Thu Aug 07 08:48:16 UTC 2025","Thu Aug 07 08:48:19 UTC 2025","3538","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"failed","Thu Aug 07 08:48:05 UTC 2025","Thu Aug 07 08:48:08 UTC 2025","3721","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"failed","Thu Aug 07 08:48:08 UTC 2025","Thu Aug 07 08:48:12 UTC 2025","3466","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
"passed","Thu Aug 07 08:48:37 UTC 2025","Thu Aug 07 08:48:47 UTC 2025","10597","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"passed","Thu Aug 07 08:48:58 UTC 2025","Thu Aug 07 08:49:03 UTC 2025","4738","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
