"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 10 17:03:34 UTC 2025","Sun Aug 10 17:03:38 UTC 2025","3640","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"passed","Sun Aug 10 17:03:55 UTC 2025","Sun Aug 10 17:03:59 UTC 2025","3686","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Sun Aug 10 17:04:10 UTC 2025","Sun Aug 10 17:04:21 UTC 2025","10869","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Sun Aug 10 17:03:52 UTC 2025","Sun Aug 10 17:03:55 UTC 2025","3499","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"passed","Sun Aug 10 17:03:41 UTC 2025","Sun Aug 10 17:03:45 UTC 2025","3541","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Sun Aug 10 17:03:38 UTC 2025","Sun Aug 10 17:03:41 UTC 2025","3535","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"failed","Sun Aug 10 17:03:30 UTC 2025","Sun Aug 10 17:03:34 UTC 2025","3603","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
"passed","Sun Aug 10 17:03:45 UTC 2025","Sun Aug 10 17:03:48 UTC 2025","3667","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
"passed","Sun Aug 10 17:03:48 UTC 2025","Sun Aug 10 17:03:52 UTC 2025","3556","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Sun Aug 10 17:03:59 UTC 2025","Sun Aug 10 17:04:10 UTC 2025","10736","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"failed","Sun Aug 10 17:03:26 UTC 2025","Sun Aug 10 17:03:30 UTC 2025","4380","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Sun Aug 10 17:04:21 UTC 2025","Sun Aug 10 17:04:26 UTC 2025","4830","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
