"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 08:39:04 UTC 2025","Thu Aug 07 08:39:08 UTC 2025","3539","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"passed","Thu Aug 07 08:39:22 UTC 2025","Thu Aug 07 08:39:26 UTC 2025","3604","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"passed","Thu Aug 07 08:39:19 UTC 2025","Thu Aug 07 08:39:22 UTC 2025","3494","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"passed","Thu Aug 07 08:39:01 UTC 2025","Thu Aug 07 08:39:04 UTC 2025","3639","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"failed","Thu Aug 07 08:38:53 UTC 2025","Thu Aug 07 08:38:57 UTC 2025","3722","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Thu Aug 07 08:39:47 UTC 2025","Thu Aug 07 08:39:52 UTC 2025","4748","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Thu Aug 07 08:39:26 UTC 2025","Thu Aug 07 08:39:36 UTC 2025","10547","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"passed","Thu Aug 07 08:39:15 UTC 2025","Thu Aug 07 08:39:19 UTC 2025","3510","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Thu Aug 07 08:39:36 UTC 2025","Thu Aug 07 08:39:47 UTC 2025","10533","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Thu Aug 07 08:39:08 UTC 2025","Thu Aug 07 08:39:12 UTC 2025","3517","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Thu Aug 07 08:39:12 UTC 2025","Thu Aug 07 08:39:15 UTC 2025","3629","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
"failed","Thu Aug 07 08:38:57 UTC 2025","Thu Aug 07 08:39:01 UTC 2025","3575","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
