"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 05:21:13 UTC 2025","Sat Aug 09 05:21:16 UTC 2025","3706","tests","test_turnlamp","","","","test_turnlamp_synchronflash[14]",""
"failed","Sat Aug 09 05:20:48 UTC 2025","Sat Aug 09 05:20:51 UTC 2025","3497","tests","test_turnlamp","","","","test_turnlamp_synchronflash[7]",""
"passed","Sat Aug 09 05:21:27 UTC 2025","Sat Aug 09 05:21:38 UTC 2025","10803","tests","test_turnlamp","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Sat Aug 09 05:20:55 UTC 2025","Sat Aug 09 05:20:58 UTC 2025","3524","tests","test_turnlamp","","","","test_turnlamp_synchronflash[9]",""
"passed","Sat Aug 09 05:21:09 UTC 2025","Sat Aug 09 05:21:13 UTC 2025","3501","tests","test_turnlamp","","","","test_turnlamp_synchronflash[13]",""
"passed","Sat Aug 09 05:20:58 UTC 2025","Sat Aug 09 05:21:02 UTC 2025","3477","tests","test_turnlamp","","","","test_turnlamp_synchronflash[10]",""
"passed","Sat Aug 09 05:21:06 UTC 2025","Sat Aug 09 05:21:09 UTC 2025","3491","tests","test_turnlamp","","","","test_turnlamp_synchronflash[12]",""
"passed","Sat Aug 09 05:21:38 UTC 2025","Sat Aug 09 05:21:43 UTC 2025","4732","tests","test_turnlamp","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Sat Aug 09 05:21:16 UTC 2025","Sat Aug 09 05:21:27 UTC 2025","10722","tests","test_turnlamp","","","","test_turnlamp_triggered_synchronflash[12]",""
"failed","Sat Aug 09 05:20:51 UTC 2025","Sat Aug 09 05:20:55 UTC 2025","3589","tests","test_turnlamp","","","","test_turnlamp_synchronflash[8]",""
"failed","Sat Aug 09 05:20:43 UTC 2025","Sat Aug 09 05:20:48 UTC 2025","4368","tests","test_turnlamp","","","","test_turnlamp_synchronflash[6]",""
"passed","Sat Aug 09 05:21:02 UTC 2025","Sat Aug 09 05:21:06 UTC 2025","3654","tests","test_turnlamp","","","","test_turnlamp_synchronflash[11]",""
