"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 05:10:58 UTC 2025","Sat Aug 09 05:11:02 UTC 2025","4159","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[6]",""
"passed","Sat Aug 09 05:11:19 UTC 2025","Sat Aug 09 05:11:23 UTC 2025","3548","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[12]",""
"passed","Sat Aug 09 05:11:02 UTC 2025","Sat Aug 09 05:11:05 UTC 2025","3471","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[7]",""
"passed","Sat Aug 09 05:11:26 UTC 2025","Sat Aug 09 05:11:30 UTC 2025","3579","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[14]",""
"passed","Sat Aug 09 05:11:16 UTC 2025","Sat Aug 09 05:11:19 UTC 2025","3464","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[11]",""
"passed","Sat Aug 09 05:11:51 UTC 2025","Sat Aug 09 05:11:56 UTC 2025","4727","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash_alternative[12]",""
"passed","Sat Aug 09 05:11:05 UTC 2025","Sat Aug 09 05:11:09 UTC 2025","3471","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[8]",""
"passed","Sat Aug 09 05:11:23 UTC 2025","Sat Aug 09 05:11:26 UTC 2025","3484","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[13]",""
"passed","Sat Aug 09 05:11:09 UTC 2025","Sat Aug 09 05:11:12 UTC 2025","3550","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[9]",""
"passed","Sat Aug 09 05:11:40 UTC 2025","Sat Aug 09 05:11:51 UTC 2025","10763","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_mf4file[14]",""
"passed","Sat Aug 09 05:11:30 UTC 2025","Sat Aug 09 05:11:40 UTC 2025","10652","tests","test_turnlamp_all_pass","","","","test_turnlamp_triggered_synchronflash[12]",""
"passed","Sat Aug 09 05:11:12 UTC 2025","Sat Aug 09 05:11:16 UTC 2025","3474","tests","test_turnlamp_all_pass","","","","test_turnlamp_synchronflash[10]",""
