"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[14]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","1","test_turnlamp_synchronflash_with_controldesk_recorder[8]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"","3463","test_turnlamp_synchronflash[6]","tests.turnlamp","Mon Aug 25 11:46:52 UTC 2025","failed","Mon Aug 25 11:46:56 UTC 2025","","test_synchron_flash","",""
"","7252","test_turnlamp_triggered_mf4file[14]","tests.turnlamp","Mon Aug 25 11:49:16 UTC 2025","passed","Mon Aug 25 11:49:23 UTC 2025","","test_synchron_flash","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7222","test_turnlamp_synchronflash_alternative[11]","tests.turnlamp","Mon Aug 25 11:49:59 UTC 2025","passed","Mon Aug 25 11:50:06 UTC 2025","","test_synchron_flash","",""
"","7223","test_turnlamp_triggered_synchronflash[8]","tests.turnlamp","Mon Aug 25 11:47:27 UTC 2025","passed","Mon Aug 25 11:47:34 UTC 2025","","test_synchron_flash","",""
"","7227","test_turnlamp_triggered_synchronflash[9]","tests.turnlamp","Mon Aug 25 11:47:34 UTC 2025","passed","Mon Aug 25 11:47:41 UTC 2025","","test_synchron_flash","",""
"","3211","test_turnlamp_synchronflash[10]","tests.turnlamp","Mon Aug 25 11:50:44 UTC 2025","failed","Mon Aug 25 11:50:47 UTC 2025","","test_synchron_flash_multiport","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7299","test_turnlamp_synchronflash_alternative[14]","tests.turnlamp","Mon Aug 25 11:50:21 UTC 2025","passed","Mon Aug 25 11:50:28 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[11]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"","3212","test_turnlamp_synchronflash[13]","tests.turnlamp","Mon Aug 25 11:50:54 UTC 2025","passed","Mon Aug 25 11:50:57 UTC 2025","","test_synchron_flash_multiport","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7221","test_turnlamp_synchronflash_alternative[10]","tests.turnlamp","Mon Aug 25 11:49:52 UTC 2025","passed","Mon Aug 25 11:49:59 UTC 2025","","test_synchron_flash","",""
"","3241","test_turnlamp_synchronflash[11]","tests.turnlamp","Mon Aug 25 11:47:09 UTC 2025","passed","Mon Aug 25 11:47:12 UTC 2025","","test_synchron_flash","",""
"","7291","test_turnlamp_triggered_synchronflash[10]","tests.turnlamp","Mon Aug 25 11:47:41 UTC 2025","passed","Mon Aug 25 11:47:48 UTC 2025","","test_synchron_flash","",""
"","3205","test_turnlamp_synchronflash[6]","tests.turnlamp","Mon Aug 25 11:50:31 UTC 2025","failed","Mon Aug 25 11:50:35 UTC 2025","","test_synchron_flash_multiport","",""
"","7264","test_turnlamp_triggered_mf4file[12]","tests.turnlamp","Mon Aug 25 11:49:01 UTC 2025","passed","Mon Aug 25 11:49:08 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[7]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"","7253","test_turnlamp_triggered_mf4file[10]","tests.turnlamp","Mon Aug 25 11:48:47 UTC 2025","passed","Mon Aug 25 11:48:54 UTC 2025","","test_synchron_flash","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7223","test_turnlamp_synchronflash_alternative[8]","tests.turnlamp","Mon Aug 25 11:49:37 UTC 2025","passed","Mon Aug 25 11:49:45 UTC 2025","","test_synchron_flash","",""
"","3231","test_turnlamp_synchronflash[7]","tests.turnlamp","Mon Aug 25 11:50:35 UTC 2025","failed","Mon Aug 25 11:50:38 UTC 2025","","test_synchron_flash_multiport","",""
"","7219","test_turnlamp_triggered_synchronflash[7]","tests.turnlamp","Mon Aug 25 11:47:20 UTC 2025","failed","Mon Aug 25 11:47:27 UTC 2025","","test_synchron_flash","",""
"","3213","test_turnlamp_synchronflash[14]","tests.turnlamp","Mon Aug 25 11:50:57 UTC 2025","failed","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7314","test_turnlamp_synchronflash_alternative[7]","tests.turnlamp","Mon Aug 25 11:49:30 UTC 2025","failed","Mon Aug 25 11:49:37 UTC 2025","","test_synchron_flash","",""
"
    Direct usage of capture instance instead of using it as contextmanager using 'with' statement.
    ","7217","test_turnlamp_synchronflash_alternative[6]","tests.turnlamp","Mon Aug 25 11:49:23 UTC 2025","failed","Mon Aug 25 11:49:30 UTC 2025","","test_synchron_flash","",""
"","7222","test_turnlamp_triggered_synchronflash[14]","tests.turnlamp","Mon Aug 25 11:48:10 UTC 2025","passed","Mon Aug 25 11:48:17 UTC 2025","","test_synchron_flash","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","0","test_turnlamp_synchronflash_with_controldesk_recorder[10]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"
    The test is similar `test_turnlamp_synchronflash` but instead of capturing via the ports,
    we directly use controldesk to record all relevant signals, regardles of the openta port.
    ","1","test_turnlamp_synchronflash_with_controldesk_recorder[6]","tests.turnlamp","Mon Aug 25 11:51:00 UTC 2025","skipped","Mon Aug 25 11:51:00 UTC 2025","","test_synchron_flash_multiport","",""
"","7333","test_turnlamp_triggered_mf4file[8]","tests.turnlamp","Mon Aug 25 11:48:32 UTC 2025","passed","Mon Aug 25 11:48:39 UTC 2025","","test_synchron_flash","",""
"","7222","test_turnlamp_triggered_synchronflash[12]","tests.turnlamp","Mon Aug 25 11:47:56 UTC 2025","passed","Mon Aug 25 11:48:03 UTC 2025","","test_synchron_flash","",""
